post_id,dt,year,month,dayofweek,hour,word_count,sentence_count,avg_sentence_length,paragraph_count,vs_compound,vs_pos,vs_neg,vs_neu,sentiment_label,question_count,exclaim_count,quote_count,dialogue_ratio,first_person_ratio,uppercase_ratio,entity_count,dominant_topic,topic_label,topic_confidence,note_count,log_notes,tier
753752476340060160,2024-06-19 21:59:37,2024,6,2,21,406,42,9.666666666666666,1,0.9914,0.147,0.066,0.787,Positive,1,1,2,0.0049261083743842,0.0985221674876847,0.0384967919340055,5,1,Work & Career,0.9927602800364821,1731,7.4570320891223805,Mid
753748757777186816,2024-06-19 21:00:31,2024,6,2,21,415,35,11.857142857142858,1,0.9915,0.145,0.057,0.798,Positive,4,0,2,0.0048192771084337,0.1108433734939759,0.0341685649202733,3,3,Health & Struggle,0.9917374980835818,403,6.0014148779611505,Low
753748076397789184,2024-06-19 20:49:41,2024,6,2,20,12,1,12.0,1,0.6115,0.266,0.0,0.734,Positive,0,0,2,0.1666666666666666,0.0833333333333333,0.0161290322580645,0,1,Work & Career,0.7810406536086705,559,6.327936783729195,Low
753747058299682816,2024-06-19 20:33:30,2024,6,2,20,201,18,11.166666666666666,1,-0.4872,0.102,0.102,0.796,Negative,0,0,2,0.0099502487562189,0.1243781094527363,0.0301507537688442,2,1,Work & Career,0.8520441590027074,629,6.4457198193855785,Low
753745318841073664,2024-06-19 20:05:51,2024,6,2,20,172,18,9.555555555555555,1,0.4125,0.09,0.086,0.824,Positive,0,1,2,0.0116279069767441,0.0523255813953488,0.024390243902439,2,1,Work & Career,0.9834707828354398,1413,7.254177846456518,Mid
753744314585186304,2024-06-19 19:49:53,2024,6,2,19,311,27,11.51851851851852,1,0.9804,0.15,0.077,0.773,Positive,1,0,2,0.0064308681672025,0.0964630225080385,0.025625,0,1,Work & Career,0.8953289545413019,1877,7.537962659768208,Mid
753742353805803520,2024-06-19 19:18:44,2024,6,2,19,182,21,8.666666666666666,1,0.9936,0.268,0.033,0.699,Positive,1,0,2,0.0109890109890109,0.0714285714285714,0.0209580838323353,0,1,Work & Career,0.7444729197091311,2305,7.743269700829004,Mid
753741343495438336,2024-06-19 19:02:40,2024,6,2,19,364,35,10.4,1,0.9947,0.16,0.045,0.794,Positive,0,0,2,0.0054945054945054,0.0714285714285714,0.0262453133369041,0,1,Work & Career,0.9919676703615486,9233,9.130647603066937,Viral
739329183676825600,2024-01-12 17:07:33,2024,1,4,17,326,45,7.2444444444444445,1,0.9911,0.155,0.045,0.8,Positive,1,0,2,0.0061349693251533,0.0889570552147239,0.0399274047186932,3,1,Work & Career,0.9907807984017278,1442,7.274479558773871,Mid
739328905888022528,2024-01-12 17:03:08,2024,1,4,17,213,21,10.142857142857142,1,0.9631,0.103,0.026,0.871,Positive,5,0,2,0.0093896713615023,0.1032863849765258,0.0294930875576036,0,1,Work & Career,0.6814024387979507,1714,7.44716835960004,Mid
739327980204064768,2024-01-12 16:48:26,2024,1,4,16,183,11,16.636363636363637,1,0.2732,0.011,0.0,0.989,Positive,1,0,2,0.0109289617486338,0.0163934426229508,0.0211981566820276,5,1,Work & Career,0.6307439252432292,463,6.139884552226255,Low
738644354969862144,2024-01-05 03:42:30,2024,1,4,3,24,1,24.0,1,-0.5423,0.0,0.132,0.868,Negative,0,0,2,0.0833333333333333,0.125,0.0176991150442477,0,1,Work & Career,0.9124478039739226,4439,8.39840965542627,High
738642783692308480,2024-01-05 03:17:31,2024,1,4,3,258,28,9.214285714285714,1,0.9317,0.101,0.035,0.864,Positive,1,0,2,0.0077519379844961,0.0620155038759689,0.0283159463487332,1,3,Health & Struggle,0.6342491355784956,6541,8.785998208098329,Viral
